1 Elgin Restaurant	1 Elgin St, Ottawa, ON K1P 5W1, Canada	(613) 594-5127	https://nac-cna.ca/en/1elgin	11:30 - 14:00	17:00 - 21:00	11:30 - 14:00	17:00 - 21:00	11:30 - 14:00	17:00 - 21:00	11:30 - 14:00
3 Brothers Shawarma & Poutine	160 Rideau St, Ottawa, ON K1N 5X6, Canada	(613) 321-6990	https://www.3brothersshawarma.com/	11:00 - 03:00	11:00 - 03:00	11:00 - 03:00	11:00 - 03:30	11:00 - 04:00	11:00 - 04:00	11:00 - 03:00
A&W Canada	155 Queen St, Ottawa, ON K1A 1K2, Canada	(613) 421-0588	https://web.aw.ca/	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
Aiana Restaurant Collective	50 R. O'Connor St, Ottawa, ON K1P 6L2, Canada	(613) 680-8100	http://aiana.ca/	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	17:00 - 23:00	n/a	n/a
Altcetera Cafe	185 Slater St., Ottawa, ON K0C 0C8, Canada	(844) 258-6882	https://www.germainhotels.com/en/alt-hotel/ottawa/things-to-do/altcetera-cafe	00:00 - 	n/a	n/a	n/a	n/a	n/a	n/a
Arlo Wine & Restaurant	340 Somerset St W, Ottawa, ON K2P 0J9, Canada	(613) 421-1424	http://www.restaurantarlo.com/	17:30 - 00:00	17:30 - 00:00	17:30 - 00:00	17:30 - 00:00	17:30 - 00:00	n/a	n/a
Aroma Meze	239 Nepean St, Ottawa, ON K2P 0B7, Canada	(613) 421-0504	http://www.aromameze.com/	16:30 - 21:00	16:30 - 21:00	16:30 - 21:00	16:30 - 21:00	16:30 - 21:00	16:30 - 22:00	16:30 - 22:00
Asian Bistro	160 Metcalfe St, Ottawa, ON K2P 1P2, Canada	(613) 884-7777	http://asianbistroottawa.com/	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00
BeaverTails Byward Market	69 George St, Ottawa, ON K1N 1K1, Canada	(613) 241-1230	http://www.beavertails.com/	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 23:00	11:00 - 00:00	11:00 - 00:00
Beckta Dining & Wine	150 Elgin St, Ottawa, ON K2P 1L4, Canada	(613) 238-7063	http://www.beckta.com/	17:00 - 21:00	17:00 - 21:00	17:00 - 21:00	17:00 - 21:00	17:00 - 22:00	17:00 - 22:00	n/a
Bier Markt	156 Sparks St., Ottawa, ON K1P 5B9, Canada	(613) 780-7575	https://www.thebiermarkt.com/	11:30 - 21:00	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 22:00	11:30 - 23:00	11:30 - 23:00
