0_ID	Name	Address	Phone Number	Website	Monday Hours	Tuesday Hours	Wednesday Hours	Thursday Hours	Friday Hours	Saturday Hours	Sunday Hours
ChIJ-3NRO5gPzkwRyORK9k2r2bQ	Smokin R&Rs BBQ	1441 Stittsville Main St, Stittsville, ON K2S 1E5, Canada	(613) 850-3242	https://www.facebook.com/pages/Smokin-RRs-BBQ/1380854462230968	11:00 - 18:30	11:00 - 18:30	11:00 - 18:30	11:00 - 18:30	11:00 - 18:30	11:00 - 19:30	11:00 - 19:30
ChIJ-6AGxlX_zUwRZwr_Pwtt628	Willy’s pizza Stittsville	1408 Stittsville Main St, Stittsville, ON K2S 1E5, Canada	(613) 836-9191	http://www.willyspizza.ca/	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	10:00 - 00:00	10:00 - 00:00
ChIJ-R_8O5__zUwR6v2IpFoXg5I	Arby's	474 Hazeldean Rd Unit #14, Kanata, ON K2L 4E5, Canada	(613) 831-3030	https://locations.arbys.ca/on/kanata/474-hazeldean-rd..html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00	11:00 - 20:00
ChIJ-R_8O5__zUwRq8D6OPx3UkE	Pizza Hut Kanata	474 Hazeldean Rd, Kanata, ON K2L 4E5, Canada	(613) 836-7533	https://www.pizzahut.ca/?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTkxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 22:00	11:00 - 23:00	11:00 - 00:00	11:00 - 00:00
ChIJ-R_8O5__zUwRzTjD3rULGhc	Pizza Pizza	420 Hazeldean Rd, Kanata, ON K2L 4B2, Canada	(613) 737-1111	https://www.pizzapizza.ca/?utm_source=google&utm_medium=local&utm_campaign=google-local	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 00:00	11:00 - 01:00	11:00 - 01:00
ChIJ-Uijghf9zUwRX3Pz8A0Elx8	Juluca's - Italian Restaurant	613 Longfields Dr Unit 107, Ottawa, ON K2J 6J2, Canada	(613) 440-7770	http://www.julucas.ca/	16:00 - 21:00	16:00 - 21:00	16:00 - 21:00	16:00 - 22:00	16:00 - 22:00	16:00 - 22:00	n/a
ChIJ-Z8a5wH_zUwRQubmMBYzHV0	Subway	700 Eagleson Rd Unit A0111a, Kanata, ON K2M 2G9, Canada	(613) 599-8576	https://restaurants.subway.com/canada/on/kanata/700-eagleson-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=15326&utm_campaign=evergreen-2020&y_source=1_MTQ5MTkxMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00	09:00 - 21:00
ChIJ-b8jc94AzkwR-aLC7O_8tyM	Taj Indian Cuisine	3009 Carling Ave, Ottawa, ON K2B 7Y6, Canada	(613) 726-6955	http://www.tajindian-cuisine.com/	13:00 - 21:00	11:00 - 14:00	16:00 - 21:00	11:00 - 14:00	16:00 - 21:00	11:00 - 14:00	16:00 - 21:00
ChIJ-xHCXa34zUwRBGhZCICfQYc	Quitters Coffee	1523 Stittsville Main St, Stittsville, ON K2S 1A6, Canada	n/a	n/a	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	n/a	n/a
ChIJ00UmV44DzkwRZ5qm5EzaOXA	Pizza Café Taché - Pizza Hull - Pizza Gatineau	481 Boul. Alexandre-Taché, Gatineau, QC J9A 1M8, Canada	(819) 778-8888	http://pizzacafetache.ca/	10:30 - 23:00	15:00 - 23:30	15:00 - 23:30	11:00 - 23:30	11:00 - 23:30	10:00 - 00:00	10:00 - 00:00
